INS ID,Institute Name,Regular Enrollment,Non Regular Enrollment
2,GTVC (BOYS)  GULBAHAR,NULL,NULL
3,GTVC (WOMEN) GULBAHAR,NULL,NULL
4,GPI (WOMEN) HAYATABAD PESHAWAR,NULL,NULL
6,GCT PESHAWAR,NULL,NULL
7,GPI (BOYS) SARDARGARI PESHAWAR,NULL,NULL
8,GATTC HAYATABAD,NULL,NULL
9,GTVC (WOMEN) HAYATABAD,NULL,NULL
11,GTTTC HAYATABAD PESHAWAR,NULL,NULL
13,GPI (BOYS) MARDAN,NULL,NULL
15,GPI (BOYS) TAKHT BAI,NULL,NULL
19,GCT NOWSHERA,NULL,NULL
22,GTVC (BOYS) CHARSSADA,NULL,NULL
23,GTVC (WOMEN) CHARSADDA,NULL,NULL
24,GCT TANGI CHARSADDA,NULL,NULL
27,GCT SWABI,NULL,NULL
33,GTVC (BOYS) GHAZI,NULL,NULL
36,GTVC (WOMEN) KOHAT,NULL,NULL
38,GTVC (BOYS) HANGU,NULL,NULL
39,GTVC (BOYS) KARAK,NULL,NULL
40,GTVC (WOMEN) KARAK,NULL,NULL
41,GPI (BOYS) KARAK,NULL,NULL
42,GTVC (BOYS) BANNU,NULL,NULL
44,GCT BANNU,NULL,NULL
45,GPI (BOYS) LAKKI MARWAT,NULL,NULL
46,GTVC (BOYS) GHAZNI KHEL,NULL,NULL
47,GTVC (BOYS) DI KHAN,NULL,NULL
48,GTVC (WOMEN) DI KHAN,NULL,NULL
49,GPI (WOMEN) DI KHAN,NULL,NULL
51,GTVC (BOYS) PAHAR PUR,NULL,NULL
52,GTVC (BOYS) TANK,NULL,NULL
54,GTVC (WOMEN) ABBOTTABAD,NULL,NULL
57,GTVC (BOYS) MANSEHRA,NULL,NULL
58,GPI (BOYS) MANSEHRA,NULL,NULL
59,GTVC (WOMEN) MANSEHRA,NULL,NULL
64,GTVC (BOYS) SAMAR BAGH,NULL,NULL
66,GTVC (WOMEN) TIMARGARAH,NULL,NULL
76,GTVC (BOYS) CHITRAL,NULL,NULL
101,GCT ABBOTTABAD,NULL,NULL
102,GCT DI KHAN,NULL,NULL
103,GCT Kohat,NULL,NULL
104,GCT Swat,NULL,NULL
105,GPI (BOYS) BATKHELA,NULL,NULL
106,GPI (BOYS) BUNER,NULL,NULL
107,GPI (BOYS) HARIPUR,NULL,NULL
108,GPI (Boys) WARI,NULL,NULL
109,GTVC (BOYS) CHAKDARA,NULL,NULL
114,GTVC (BOYS) MINGORA,NULL,NULL
128,GCT TIMARGHARA,NULL,NULL
132,GTVC (BOYS) DARGAI,NULL,NULL
136,GPI (WOMEN) TIMERGARA,NULL,NULL
137,GPI (BOYS) SHANGLA,NULL,NULL
138,GPI (BOYS) PATTAN KOHISTAN,NULL,NULL
139,GTVC (WOMEN) TOTANO BANDA,NULL,NULL
142,GPI (Boys) MATTA SWAT,NULL,NULL
144,SDC HARIPUR JAIL,NULL,NULL
145,SDC BUNNU JAIL,NULL,NULL
149,GPI (BOYS) CHAKDARA,NULL,NULL
150,GTVC (WOMEN) MINGORA SWAT,NULL,NULL
151,GTVC (BOYS) ABBOTTABAD,NULL,NULL
152,GTVC (Boys) MADYAN,NULL,NULL
153,GTVC (B) Maidan,NULL,NULL
154,Footwear Training Institute (FTI),NULL,NULL
155,Gems and Jewelry Center,NULL,NULL
156,GTVC (Boys) Khalabat Haripur,NULL,NULL
157,GTVC (B) Gadoon Amazai,NULL,NULL
158,GTVC (B) Jehangira ,NULL,NULL
159,GTVC (Boys) Kohat,NULL,NULL
160,GTVC (Boys) Mirzadher charssadda,NULL,NULL
161,GTVC (B) Matta swat,NULL,NULL
162,GTVC (Boys) Takhtbhai Mardan,NULL,NULL
163,GTVC (Boys) Hathian Mardan,NULL,NULL
164,GTVC (Boys) Palodheri Mardan,NULL,NULL
165,GTVC (B) Umerzai Charsadda,NULL,NULL
166,GTVC (Boys) Urmer Peshawar,NULL,NULL
167,CIS (Boys) Badhaber,NULL,NULL
168,GTVC (Boys) Bakhshali Mardan,NULL,NULL
169,GTVC (Boys) Khaki Mansehra,NULL,NULL
170,GTVC (B) Yar Hussain Swabi,NULL,NULL
171,GTVC (Boys) Mardan,NULL,NULL
172,KP-SATS Akora Khattak,NULL,NULL
173,FMC VTC (Women) Peshawar,NULL,NULL
174,GTVC (Women) Mardan,NULL,NULL
175,GTVC (Women) Booni Chitral,NULL,NULL
176,GTVC (Women) Chakdara,NULL,NULL
177,GTVC (Women) Swabi,NULL,NULL
178,GTVC (Women) Khalabat Haripur,NULL,NULL
179,GTVC (Women) Nowshera,NULL,NULL
180,GTVC (Women) Bannu,NULL,NULL
181,GTVC (Women) Shewa Swabi,NULL,NULL
182,Skill Development Center (SDC)  Balakot,NULL,NULL
183,Skill Development Center (SDC)  Battagram,NULL,NULL
184,Skill Development Center (SDC)  Bamboorait Chitral,NULL,NULL
185,Skill Development Center (SDC)  Mardan Jail,NULL,NULL
186,GCT Khar Bajaur ,NULL,NULL
187,GPI (Boys) Wanna South Waziristan,NULL,NULL
188,GPI (Boys) Bara,NULL,NULL
189,GPI (BOYS)  Ekkaghund,NULL,NULL
190,GPI (Boys) Miransha North Waziristan,NULL,NULL
191,GPI (BOYS) Kalaya Orakzai,NULL,NULL
192,GPI (Boys) Parachinar kurram,NULL,NULL
193,GPI (BOYS) Chaghmalai south waziristan,NULL,NULL
194,GPI (Boys) Sadda Kurram,NULL,NULL
195,GTVC (Women) Khar Bajaur,NULL,NULL
196,GTI Shalman Khyber,NULL,NULL
197,GW & MC ,NULL,NULL
199,GTVC (Women) Chitral city ,NULL,NULL
